Treatment,Replicate,SamplingDate,PlateDilution,PictureDate(days since plating),White,Purple S,Purple wr
static,2,16-Sep,-7,2,0,0,0
static,3,16-Sep,-7,2,0,0,0
Shaken,1,16-Sep,-5,3,56,0,0
Shaken,2,16-Sep,-5,3,72,0,0
Shaken,3,16-Sep,-5,3,81,0,0
Shaken,1,16-Sep,-6,3,8,0,0
Shaken,2,16-Sep,-6,3,5,0,0
Shaken,3,16-Sep,-6,3,11,0,0
Shaken,1,16-Sep,-7,3,2,0,0
Shaken,2,16-Sep,-7,3,0,0,0
Shaken,3,16-Sep,-7,3,1,0,0
static,1,16-Sep,-5,3,15,3,0
static,2,16-Sep,-5,3,5,0,0
static,3,16-Sep,-5,3,20,1,0
static,1,16-Sep,-6,3,1,1,0
static,2,16-Sep,-6,3,0,0,0
static,3,16-Sep,-6,3,1,0,0
static,1,16-Sep,-7,3,0,0,0
static,2,16-Sep,-7,3,0,0,0
static,3,16-Sep,-7,3,0,0,0
Shaken,1,16-Sep,-5,4,64,0,0
Shaken,2,16-Sep,-5,4,83,0,0
Shaken,3,16-Sep,-5,4,90,1,0
Shaken,1,16-Sep,-6,4,8,0,0
Shaken,2,16-Sep,-6,4,6,0,0
Shaken,3,16-Sep,-6,4,7,0,0
Shaken,1,16-Sep,-7,4,2,0,0
Shaken,2,16-Sep,-7,4,0,0,0
Shaken,3,16-Sep,-7,4,1,0,0
static,1,16-Sep,-5,4,16,1,3
static,2,16-Sep,-5,4,4,0,0
static,3,16-Sep,-5,4,19,1,0
static,1,16-Sep,-6,4,1,0,1
static,2,16-Sep,-6,4,0,0,0
static,3,16-Sep,-6,4,1,0,0
static,1,16-Sep,-7,4,0,0,0
static,2,16-Sep,-7,4,0,0,0
static,3,16-Sep,-7,4,0,0,0
Shaken,1,16-Sep,-5,5,67,0,0
Shaken,2,16-Sep,-5,5,88,0,0
Shaken,3,16-Sep,-5,5,95,1,0
Shaken,1,16-Sep,-6,5,8,0,0
Shaken,2,16-Sep,-6,5,6,0,0
Shaken,3,16-Sep,-6,5,7,0,0
Shaken,1,16-Sep,-7,5,2,0,0
Shaken,2,16-Sep,-7,5,0,0,0
Shaken,3,16-Sep,-7,5,0,1,0
static,1,16-Sep,-5,5,14,7,3
static,2,16-Sep,-5,5,5,0,0
static,3,16-Sep,-5,5,16,5,0
static,1,16-Sep,-6,5,1,0,1
static,2,16-Sep,-6,5,0,0,0
static,3,16-Sep,-6,5,0,1,0
static,1,16-Sep,-7,5,0,0,0
static,2,16-Sep,-7,5,0,0,0
static,3,16-Sep,-7,5,0,0,0
Shaken,1,16-Sep,-5,6,69,0,0
Shaken,2,16-Sep,-5,6,90,0,0
Shaken,3,16-Sep,-5,6,98,3,0
Shaken,1,16-Sep,-6,6,8,0,0
Shaken,2,16-Sep,-6,6,6,0,0
Shaken,3,16-Sep,-6,6,7,0,0
Shaken,1,16-Sep,-7,6,2,0,0
Shaken,2,16-Sep,-7,6,0,0,0
Shaken,3,16-Sep,-7,6,0,1,0
static,1,16-Sep,-5,6,17,6,3
static,2,16-Sep,-5,6,5,0,0
static,3,16-Sep,-5,6,16,4,1
static,1,16-Sep,-6,6,1,0,1
static,2,16-Sep,-6,6,0,0,0
static,3,16-Sep,-6,6,0,1,0
static,1,16-Sep,-7,6,0,0,0
static,2,16-Sep,-7,6,0,0,0
static,3,16-Sep,-7,6,1,0,0
Shaken,1,16-Sep,-5,7,73,0,0
Shaken,2,16-Sep,-5,7,96,0,0
Shaken,3,16-Sep,-5,7,107,3,0
Shaken,1,16-Sep,-6,7,8,0,0
Shaken,2,16-Sep,-6,7,6,0,0
Shaken,3,16-Sep,-6,7,7,0,0
Shaken,1,16-Sep,-7,7,2,0,0
Shaken,2,16-Sep,-7,7,0,1,
Shaken,3,16-Sep,-7,7,0,0,0
static,1,16-Sep,-5,7,17,6,3
static,2,16-Sep,-5,7,5,0,0
static,3,16-Sep,-5,7,16,5,1
static,1,16-Sep,-6,7,1,0,1
static,2,16-Sep,-6,7,0,0,0
static,3,16-Sep,-6,7,0,1,0
static,1,16-Sep,-7,7,0,0,0
static,2,16-Sep,-7,7,0,0,0
static,3,16-Sep,-7,7,1,0,0
Shaken,1,16-Sep,-5,8,75,0,0
Shaken,2,16-Sep,-5,8,108,0,0
Shaken,3,16-Sep,-5,8,106,3,0
Shaken,1,16-Sep,-6,8,29,0,0
Shaken,2,16-Sep,-6,8,17,0,0
Shaken,3,16-Sep,-6,8,13,0,0
Shaken,1,16-Sep,-7,8,2,0,0
Shaken,2,16-Sep,-7,8,NAN,NAN,NAN
Shaken,3,16-Sep,-7,8,2,0,0
static,1,16-Sep,-5,8,36,0,0
static,2,16-Sep,-5,8,5,0,0
static,3,16-Sep,-5,8,22,0,0
static,1,16-Sep,-6,8,2,0,0
static,2,16-Sep,-6,8,NAN,NAN,NAN
static,3,16-Sep,-6,8,2,0,0
static,1,16-Sep,-7,8,NAN,NAN,NAN
static,2,16-Sep,-7,8,NAN,NAN,NAN
static,3,16-Sep,-7,8,1,0,0
Shaken,1,16-Sep,-5,9,77,0,0
Shaken,2,16-Sep,-5,9,112,0,0
Shaken,3,16-Sep,-5,9,109,3,0
Shaken,1,16-Sep,-6,9,31,0,0
Shaken,2,16-Sep,-6,9,20,0,0
Shaken,3,16-Sep,-6,9,15,0,0
Shaken,1,16-Sep,-7,9,2,0,0
Shaken,2,16-Sep,-7,9,NAN,NAN,NAN
Shaken,3,16-Sep,-7,9,2,0,0
static,1,16-Sep,-5,9,36,0,0
static,2,16-Sep,-5,9,5,0,0
static,3,16-Sep,-5,9,22,0,0
static,1,16-Sep,-6,9,2,0,0
static,2,16-Sep,-6,9,NAN,NAN,NAN
static,3,16-Sep,-6,9,2,0,0
static,1,16-Sep,-7,9,NAN,NAN,NAN
static,2,16-Sep,-7,9,NAN,NAN,NAN
static,3,16-Sep,-7,9,1,0,0
Shaken,1,16-Sep,-5,10,77,0,0
Shaken,2,16-Sep,-5,10,118,0,0
Shaken,3,16-Sep,-5,10,109,3,0
Shaken,1,16-Sep,-6,10,35,0,0
Shaken,2,16-Sep,-6,10,21,0,0
Shaken,3,16-Sep,-6,10,15,0,0
Shaken,1,16-Sep,-7,10,2,0,0
Shaken,2,16-Sep,-7,10,NAN,NAN,NAN
Shaken,3,16-Sep,-7,10,1,1,0
static,1,16-Sep,-5,10,27,4,5
static,2,16-Sep,-5,10,5,0,0
static,3,16-Sep,-5,10,16,2,4
static,1,16-Sep,-6,10,1,0,1
static,2,16-Sep,-6,10,NAN,NAN,NAN
static,3,16-Sep,-6,10,1,0,1
static,1,16-Sep,-7,10,NAN,NAN,NAN
static,2,16-Sep,-7,10,NAN,NAN,NAN
static,3,16-Sep,-7,10,1,0,0
Shaken,1,21-Sep,-5,1,0,0,0
Shaken,2,21-Sep,-5,1,0,0,0
Shaken,3,21-Sep,-5,1,0,0,0
Shaken,1,21-Sep,-6,1,0,0,0
Shaken,2,21-Sep,-6,1,0,0,0
Shaken,3,21-Sep,-6,1,0,0,0
Shaken,1,21-Sep,-7,1,0,0,0
Shaken,2,21-Sep,-7,1,0,0,0
Shaken,3,21-Sep,-7,1,0,0,0
static,1,21-Sep,-5,1,0,0,0
static,2,21-Sep,-5,1,0,0,0
static,3,21-Sep,-5,1,0,0,0
static,1,21-Sep,-6,1,0,0,0
static,2,21-Sep,-6,1,0,0,0
static,3,21-Sep,-6,1,0,0,0
static,1,21-Sep,-7,1,0,0,0
static,2,21-Sep,-7,1,0,0,0
static,3,21-Sep,-7,1,0,0,0
Shaken,1,21-Sep,-5,2,23,0,0
Shaken,2,21-Sep,-5,2,21,0,0
Shaken,3,21-Sep,-5,2,0,0,0
Shaken,1,21-Sep,-6,2,0,0,0
Shaken,2,21-Sep,-6,2,0,0,0
Shaken,3,21-Sep,-6,2,5,0,0
Shaken,1,21-Sep,-7,2,0,0,0
Shaken,2,21-Sep,-7,2,0,0,0
Shaken,3,21-Sep,-7,2,0,0,0
static,1,21-Sep,-5,2,13,0,0
static,2,21-Sep,-5,2,27,0,0
static,3,21-Sep,-5,2,0,0,0
static,1,21-Sep,-6,2,0,0,0
static,2,21-Sep,-6,2,14,0,0
static,3,21-Sep,-6,2,0,0,0
static,1,21-Sep,-7,2,0,0,0
static,2,21-Sep,-7,2,0,0,0
static,3,21-Sep,-7,2,0,0,0
Shaken,1,21-Sep,-5,3,34,0,0
Shaken,2,21-Sep,-5,3,29,0,0
Shaken,3,21-Sep,-5,3,Fungus,0,0
Shaken,1,21-Sep,-6,3,2,0,0
Shaken,2,21-Sep,-6,3,1,0,0
Shaken,3,21-Sep,-6,3,5,0,0
Shaken,1,21-Sep,-7,3,0,0,0
Shaken,2,21-Sep,-7,3,1,0,0
Shaken,3,21-Sep,-7,3,14,0,0
static,1,21-Sep,-5,3,14,1,0
static,2,21-Sep,-5,3,24,1,1
static,3,21-Sep,-5,3,6,1,0
static,1,21-Sep,-6,3,1,0,0
static,2,21-Sep,-6,3,14,0,0
static,3,21-Sep,-6,3,0,0,0
static,1,21-Sep,-7,3,0,0,0
static,2,21-Sep,-7,3,0,1,0
static,3,21-Sep,-7,3,0,0,0
Shaken,1,21-Sep,-5,4,47,0,0
Shaken,2,21-Sep,-5,4,36,0,0
Shaken,3,21-Sep,-5,4,Fungus,0,0
Shaken,1,21-Sep,-6,4,5,0,0
Shaken,2,21-Sep,-6,4,3,0,0
Shaken,3,21-Sep,-6,4,6,0,0
Shaken,1,21-Sep,-7,4,0,0,0
Shaken,2,21-Sep,-7,4,1,0,0
Shaken,3,21-Sep,-7,4,35,0,0
static,1,21-Sep,-5,4,16,1,0
static,2,21-Sep,-5,4,24,3,3
static,3,21-Sep,-5,4,7,3,0
static,1,21-Sep,-6,4,2,0,0
static,2,21-Sep,-6,4,14,0,0
static,3,21-Sep,-6,4,0,0,0
static,1,21-Sep,-7,4,0,0,0
static,2,21-Sep,-7,4,0,1,0
static,3,21-Sep,-7,4,0,0,0
Shaken,1,21-Sep,-5,5,56,0,0
Shaken,2,21-Sep,-5,5,44,0,0
Shaken,3,21-Sep,-5,5,Fungus,0,0
Shaken,1,21-Sep,-6,5,7,0,0
Shaken,2,21-Sep,-6,5,3,0,0
Shaken,3,21-Sep,-6,5,6,0,0
Shaken,1,21-Sep,-7,5,0,0,0
Shaken,2,21-Sep,-7,5,1,0,0
Shaken,3,21-Sep,-7,5,56,0,0
static,1,21-Sep,-5,5,18,1,0
static,2,21-Sep,-5,5,21,3,3
static,3,21-Sep,-5,5,9,5,0
static,1,21-Sep,-6,5,2,0,0
static,2,21-Sep,-6,5,14,0,0
static,3,21-Sep,-6,5,0,0,0
static,1,21-Sep,-7,5,0,0,0
static,2,21-Sep,-7,5,0,1,0
static,3,21-Sep,-7,5,0,0,0
Shaken,1,21-Sep,-5,6,56,0,0
Shaken,2,21-Sep,-5,6,48,0,0
Shaken,3,21-Sep,-5,6,Fungus,0,0
Shaken,1,21-Sep,-6,6,7,0,0
Shaken,2,21-Sep,-6,6,3,0,0
Shaken,3,21-Sep,-6,6,6,0,0
Shaken,1,21-Sep,-7,6,0,0,0
Shaken,2,21-Sep,-7,6,1,0,0
Shaken,3,21-Sep,-7,6,62,0,0
static,1,21-Sep,-5,6,18,1,0
static,2,21-Sep,-5,6,21,3,3
static,3,21-Sep,-5,6,9,5,0
static,1,21-Sep,-6,6,2,0,0
static,2,21-Sep,-6,6,14,0,0
static,3,21-Sep,-6,6,0,0,0
static,1,21-Sep,-7,6,0,0,0
static,2,21-Sep,-7,6,0,1,0
static,3,21-Sep,-7,6,0,0,0
Shaken,1,21-Sep,-5,7,58,0,0
Shaken,2,21-Sep,-5,7,50,,
Shaken,3,21-Sep,-5,7,Fungus,,
Shaken,1,21-Sep,-6,7,8,0,0
Shaken,2,21-Sep,-6,7,3,0,0
Shaken,3,21-Sep,-6,7,6,0,0
Shaken,1,21-Sep,-7,7,0,0,0
Shaken,2,21-Sep,-7,7,1,0,0
Shaken,3,21-Sep,-7,7,64,0,0
static,1,21-Sep,-5,7,18,2,0
static,2,21-Sep,-5,7,18,4,3
static,3,21-Sep,-5,7,11,5,0
static,1,21-Sep,-6,7,2,0,0
static,2,21-Sep,-6,7,15,0,0
static,3,21-Sep,-6,7,0,0,0
static,1,21-Sep,-7,7,0,0,0
static,2,21-Sep,-7,7,0,1,0
static,3,21-Sep,-7,7,0,0,0
Shaken,1,21-Sep,-5,8,58,0,0
Shaken,2,21-Sep,-5,8,50,,
Shaken,3,21-Sep,-5,8,Fungus,,
Shaken,1,21-Sep,-6,8,8,0,0
Shaken,2,21-Sep,-6,8,3,0,0
Shaken,3,21-Sep,-6,8,6,0,0
Shaken,1,21-Sep,-7,8,0,0,0
Shaken,2,21-Sep,-7,8,1,0,0
Shaken,3,21-Sep,-7,8,64,0,0
static,1,21-Sep,-5,8,18,2,0
static,2,21-Sep,-5,8,11,4,3
static,3,21-Sep,-5,8,12,5,0
static,1,21-Sep,-6,8,2,0,0
static,2,21-Sep,-6,8,16,0,0
static,3,21-Sep,-6,8,0,0,0
static,1,21-Sep,-7,8,0,0,0
static,2,21-Sep,-7,8,0,1,0
static,3,21-Sep,-7,8,0,0,0
Shaken,1,21-Sep,-5,9,65,0,0
Shaken,2,21-Sep,-5,9,58,,
Shaken,3,21-Sep,-5,9,Fungus,,
Shaken,1,21-Sep,-6,9,10,0,0
Shaken,2,21-Sep,-6,9,3,0,0
Shaken,3,21-Sep,-6,9,7,0,0
Shaken,1,21-Sep,-7,9,0,0,0
Shaken,2,21-Sep,-7,9,1,0,0
Shaken,3,21-Sep,-7,9,71,0,0
static,1,21-Sep,-5,9,21,2,0
static,2,21-Sep,-5,9,13,5,3
static,3,21-Sep,-5,9,13,6,0
static,1,21-Sep,-6,9,2,0,0
static,2,21-Sep,-6,9,17,0,0
static,3,21-Sep,-6,9,0,0,0
static,1,21-Sep,-7,9,0,0,0
static,2,21-Sep,-7,9,0,1,0
static,3,21-Sep,-7,9,0,0,0
Shaken,1,21-Sep,-5,10,67,0,0
Shaken,2,21-Sep,-5,10,59,,
Shaken,3,21-Sep,-5,10,Fungus,,
Shaken,1,21-Sep,-6,10,10,0,0
Shaken,2,21-Sep,-6,10,3,0,0
Shaken,3,21-Sep,-6,10,8,0,0
Shaken,1,21-Sep,-7,10,0,0,0
Shaken,2,21-Sep,-7,10,1,0,0
Shaken,3,21-Sep,-7,10,75,0,0
static,1,21-Sep,-5,10,21,2,0
static,2,21-Sep,-5,10,13,6,3
static,3,21-Sep,-5,10,13,6,0
static,1,21-Sep,-6,10,2,0,0
static,2,21-Sep,-6,10,17,0,0
static,3,21-Sep,-6,10,0,0,0
static,1,21-Sep,-7,10,0,0,0
static,2,21-Sep,-7,10,0,1,0
static,3,21-Sep,-7,10,0,0,0
