Treatment,Replicate,SamplingDate,PlateDilution,PictureDate(days since plating),White,Purple S,Purple wr
Shaken,3,1-Sep,-5,7,NAN,NAN,NAN
Shaken,1,1-Sep,-6,7,0,275,33
Shaken,2,1-Sep,-6,7,0,280,30
Shaken,3,1-Sep,-6,7,0,277,20
Shaken,1,1-Sep,-7,7,0,209,40
Shaken,2,1-Sep,-7,7,0,201,31
Shaken,3,1-Sep,-7,7,0,104,23
static,1,1-Sep,-5,7,0,170,25
static,2,1-Sep,-5,7,NAN,NAN,NAN
static,3,1-Sep,-5,7,NAN,NAN,NAN
static,1,1-Sep,-6,7,0,161,33
static,2,1-Sep,-6,7,NAN,NAN,NAN
static,3,1-Sep,-6,7,NAN,NAN,NAN
static,1,1-Sep,-7,7,0,65,28
static,2,1-Sep,-7,7,NAN,NAN,NAN
static,3,1-Sep,-7,7,NAN,NAN,NAN
shaken,1,1-Sep,-5,7,NAN,NAN,NAN
Shaken,2,1-Sep,-5,7,NAN,NAN,NAN
Shaken,3,1-Sep,-5,7,NAN,NAN,NAN
Shaken,1,1-Sep,-6,7,0,311,33
Shaken,2,1-Sep,-6,7,0,295,35
Shaken,3,1-Sep,-6,7,0,303,20
Shaken,1,1-Sep,-7,7,0,221,42
Shaken,2,1-Sep,-7,7,0,223,33
Shaken,3,1-Sep,-7,7,0,122,24
static,1,1-Sep,-5,7,0,176,25
static,2,1-Sep,-5,7,NAN,NAN,NAN
static,3,1-Sep,-5,7,NAN,NAN,NAN
static,1,1-Sep,-6,7,0,210,33
static,2,1-Sep,-6,7,NAN,NAN,NAN
static,3,1-Sep,-6,7,NAN,NAN,NAN
static,1,1-Sep,-7,7,1,65,28
static,2,1-Sep,-7,7,NAN,NAN,NAN
static,3,1-Sep,-7,7,NAN,NAN,NAN
shaken,1,1-Sep,-5,7,NAN,NAN,NAN
Shaken,2,1-Sep,-5,7,NAN,NAN,NAN
Shaken,3,1-Sep,-5,7,NAN,NAN,NAN
Shaken,1,1-Sep,-6,7,NAN,NAN,NAN
Shaken,2,1-Sep,-6,7,NAN,NAN,NAN
Shaken,3,1-Sep,-6,7,NAN,NAN,NAN
Shaken,1,1-Sep,-7,7,0,360,42
Shaken,2,1-Sep,-7,7,0,225,33
Shaken,3,1-Sep,-7,7,0,124,24
static,1,1-Sep,-5,7,NAN,NAN,NAN
static,2,1-Sep,-5,7,NAN,NAN,NAN
static,3,1-Sep,-5,7,NAN,NAN,NAN
static,1,1-Sep,-6,7,NAN,NAN,NAN
static,2,1-Sep,-6,7,NAN,NAN,NAN
static,3,1-Sep,-6,7,NAN,NAN,NAN
static,1,1-Sep,-7,7,2,70,28
static,2,1-Sep,-7,7,NAN,NAN,NAN
static,3,1-Sep,-7,7,NAN,NAN,NAN
Shaken,1,6-Sep,-5,1,0,0,0
Shaken,2,6-Sep,-5,1,0,0,0
Shaken,3,6-Sep,-5,1,0,0,0
Shaken,1,6-Sep,-6,1,0,0,0
Shaken,2,6-Sep,-6,1,0,0,0
Shaken,3,6-Sep,-6,1,0,0,0
Shaken,1,6-Sep,-7,1,0,0,0
Shaken,2,6-Sep,-7,1,0,0,0
Shaken,3,6-Sep,-7,1,0,0,0
static,1,6-Sep,-5,1,0,0,0
static,2,6-Sep,-5,1,0,0,0
static,3,6-Sep,-5,1,0,0,0
static,1,6-Sep,-6,1,0,0,0
static,2,6-Sep,-6,1,0,0,0
static,3,6-Sep,-6,1,0,0,0
static,1,6-Sep,-7,1,0,0,0
static,2,6-Sep,-7,1,0,0,0
static,3,6-Sep,-7,1,0,0,0
Shaken,1,6-Sep,-5,2,253,0,0
Shaken,2,6-Sep,-5,2,74,0,0
Shaken,3,6-Sep,-5,2,291,0,0
Shaken,1,6-Sep,-6,2,57,0,0
Shaken,2,6-Sep,-6,2,18,0,0
Shaken,3,6-Sep,-6,2,31,0,0
Shaken,1,6-Sep,-7,2,22,0,0
Shaken,2,6-Sep,-7,2,13,0,0
Shaken,3,6-Sep,-7,2,18,0,0
static,1,6-Sep,-5,2,179,0,0
static,2,6-Sep,-5,2,228,0,
static,3,6-Sep,-5,2,252,0,0
static,1,6-Sep,-6,2,29,0,0
static,2,6-Sep,-6,2,54,0,0
static,3,6-Sep,-6,2,73,0,0
static,1,6-Sep,-7,2,27,0,0
static,2,6-Sep,-7,2,17,0,0
static,3,6-Sep,-7,2,38,0,0
Shaken,1,6-Sep,-5,3,NAN,NAN,NAN
Shaken,2,6-Sep,-5,3,52,42,11
Shaken,3,6-Sep,-5,3,NAN,NAN,NAN
Shaken,1,6-Sep,-6,3,96,47,2
Shaken,2,6-Sep,-6,3,23,22,3
Shaken,3,6-Sep,-6,3,24,42,6
Shaken,1,6-Sep,-7,3,18,12,2
Shaken,2,6-Sep,-7,3,11,10,2
Shaken,3,6-Sep,-7,3,7,13,0
static,1,6-Sep,-5,3,NAN,NAN,NAN
static,2,6-Sep,-5,3,NAN,NAN,NAN
static,3,6-Sep,-5,3,268,46,0
static,1,6-Sep,-6,3,48,28,0
static,2,6-Sep,-6,3,20,88,10
static,3,6-Sep,-6,3,40,7,8
static,1,6-Sep,-7,3,20,10,1
static,2,6-Sep,-7,3,9,6,16
static,3,6-Sep,-7,3,23,17,7
Shaken,1,6-Sep,-5,4,NAN,NAN,NAN
Shaken,2,6-Sep,-5,4,63,50,11
Shaken,3,6-Sep,-5,4,NAN,NAN,NAN
Shaken,1,6-Sep,-6,4,109,55,5
Shaken,2,6-Sep,-6,4,23,3,15
Shaken,3,6-Sep,-6,4,27,33,18
Shaken,1,6-Sep,-7,4,17,6,7
Shaken,2,6-Sep,-7,4,13,6,7
Shaken,3,6-Sep,-7,4,8,3,13
static,1,6-Sep,-5,4,NAN,NAN,NAN
static,2,6-Sep,-5,4,NAN,NAN,NAN
static,3,6-Sep,-5,4,279,47,0
static,1,6-Sep,-6,4,51,36,0
static,2,6-Sep,-6,4,25,70,15
static,3,6-Sep,-6,4,52,27,13
static,1,6-Sep,-7,4,20,6,8
static,2,6-Sep,-7,4,10,2,19
static,3,6-Sep,-7,4,10,15,16
Shaken,1,6-Sep,-5,5,NAN,NAN,NAN
Shaken,2,6-Sep,-5,5,53,35,12
Shaken,3,6-Sep,-5,5,NAN,NAN,NAN
Shaken,1,6-Sep,-6,5,80,51,12
Shaken,2,6-Sep,-6,5,21,23,13
Shaken,3,6-Sep,-6,5,20,4,23
Shaken,1,6-Sep,-7,5,16,15,9
Shaken,2,6-Sep,-7,5,6,6,11
Shaken,3,6-Sep,-7,5,6,0,12
static,1,6-Sep,-5,5,NAN,NAN,NAN
static,2,6-Sep,-5,5,NAN,NAN,NAN
static,3,6-Sep,-5,5,NAN,NAN,NAN
static,1,6-Sep,-6,5,19,52,3
static,2,6-Sep,-6,5,17,77,18
static,3,6-Sep,-6,5,10,29,11
static,1,6-Sep,-7,5,10,13,7
static,2,6-Sep,-7,5,8,8,19
static,3,6-Sep,-7,5,14,20,15
Shaken,1,6-Sep,-5,6,NAN,NAN,NAN
Shaken,2,6-Sep,-5,6,58,37,10
Shaken,3,6-Sep,-5,6,NAN,NAN,NAN
Shaken,1,6-Sep,-6,6,79,53,11
Shaken,2,6-Sep,-6,6,22,4,14
Shaken,3,6-Sep,-6,6,19,24,22
Shaken,1,6-Sep,-7,6,19,16,11
Shaken,2,6-Sep,-7,6,6,7,11
Shaken,3,6-Sep,-7,6,8,0,12
static,1,6-Sep,-5,6,NAN,NAN,NAN
static,2,6-Sep,-5,6,NAN,NAN,NAN
static,3,6-Sep,-5,6,NAN,NAN,NAN
static,1,6-Sep,-6,6,18,48,3
static,2,6-Sep,-6,6,18,74,19
static,3,6-Sep,-6,6,10,34,11
static,1,6-Sep,-7,6,11,13,7
static,2,6-Sep,-7,6,8,6,19
static,3,6-Sep,-7,6,13,16,16
Shaken,1,6-Sep,-5,7,NAN,NAN,NAN
Shaken,2,6-Sep,-5,7,56,42,14
Shaken,3,6-Sep,-5,7,NAN,NAN,NAN
Shaken,1,6-Sep,-6,7,77,41,7
Shaken,2,6-Sep,-6,7,21,6,13
Shaken,3,6-Sep,-6,7,22,28,25
Shaken,1,6-Sep,-7,7,17,19,10
Shaken,2,6-Sep,-7,7,5,11,4
Shaken,3,6-Sep,-7,7,7,3,13
static,1,6-Sep,-5,7,NAN,NAN,NAN
static,2,6-Sep,-5,7,NAN,NAN,NAN
static,3,6-Sep,-5,7,NAN,NAN,NAN
static,1,6-Sep,-6,7,20,70,2
static,2,6-Sep,-6,7,16,59,16
static,3,6-Sep,-6,7,24,47,13
static,1,6-Sep,-7,7,11,12,7
static,2,6-Sep,-7,7,9,3,20
static,3,6-Sep,-7,7,14,14,18
Shaken,1,6-Sep,-5,8,NAN,NAN,NAN
Shaken,2,6-Sep,-5,8,66,41,8
Shaken,3,6-Sep,-5,8,NAN,NAN,NAN
Shaken,1,6-Sep,-6,8,90,37,8
Shaken,2,6-Sep,-6,8,39,8,13
Shaken,3,6-Sep,-6,8,27,29,27
Shaken,1,6-Sep,-7,8,19,2,11
Shaken,2,6-Sep,-7,8,7,10,7
Shaken,3,6-Sep,-7,8,8,0,10
static,1,6-Sep,-5,8,NAN,NAN,NAN
static,2,6-Sep,-5,8,NAN,NAN,NAN
static,3,6-Sep,-5,8,NAN,NAN,NAN
static,1,6-Sep,-6,8,19,53,3
static,2,6-Sep,-6,8,17,67,13
static,3,6-Sep,-6,8,25,18,27
static,1,6-Sep,-7,8,11,11,8
static,2,6-Sep,-7,8,9,2,21
static,3,6-Sep,-7,8,14,13,16
Shaken,1,6-Sep,-5,9,NAN,NAN,NAN
Shaken,2,6-Sep,-5,9,56,27,12
Shaken,3,6-Sep,-5,9,NAN,NAN,NAN
Shaken,1,6-Sep,-6,9,90,32,12
Shaken,2,6-Sep,-6,9,24,3,17
Shaken,3,6-Sep,-6,9,25,29,26
Shaken,1,6-Sep,-7,9,16,2,11
Shaken,2,6-Sep,-7,9,7,8,6
Shaken,3,6-Sep,-7,9,8,0,12
static,1,6-Sep,-5,9,NAN,NAN,NAN
static,2,6-Sep,-5,9,NAN,NAN,NAN
static,3,6-Sep,-5,9,NAN,NAN,NAN
static,1,6-Sep,-6,9,22,51,5
static,2,6-Sep,-6,9,18,80,22
static,3,6-Sep,-6,9,26,45,11
static,1,6-Sep,-7,9,14,13,7
static,2,6-Sep,-7,9,9,3,20
static,3,6-Sep,-7,9,12,12,17
Shaken,1,6-Sep,-5,10,NAN,NAN,NAN
Shaken,2,6-Sep,-5,10,56,48,15
Shaken,3,6-Sep,-5,10,NAN,NAN,NAN
Shaken,1,6-Sep,-6,10,93,44,19
Shaken,2,6-Sep,-6,10,24,1,21
Shaken,3,6-Sep,-6,10,25,33,26
Shaken,1,6-Sep,-7,10,16,2,12
Shaken,2,6-Sep,-7,10,9,13,6
